"Date","Product_Name","Promotion_Applied","Professions","Line_of_Business","Traffic_on_Site","Status","Campaign_Platform","Tactic_Testing","Promotion_Rate","Course_Cost","Cost_Yeild","Day_of_Week","Campaign_Cost","Leads","promo_effect","platform_effect","Sales","Conversion_Rate"
2022-01-01,"20-Hour Mortage Broker Education","None","Real Estate Agent","Other",346,"Pre-Licensing","Facebook","A",NA,2000,NA,"Saturday",141.99,8,0.8,1,0,0
2022-01-01,"Rental vs Sales - Defining Your Path","None","Mortgage Broker","Private",494,"Pre-Licensing","Conference","C",NA,200,NA,"Saturday",288.22,33,0.8,1.3,2,6.06
2022-01-01,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Appraiser","Private",801,"Pre-Licensing","Direct","A",0.3,750,225,"Saturday",250.08,30,1.15,1.4,6,20
2022-01-01,"Real Estate Introduction","30% Off","Real Estate Agent","Private",568,"Continuing Education","Conference","B",0.3,1500,450,"Saturday",252.33,39,1.15,1.3,6,15.38
2022-01-02,"Rental vs Sales - Defining Your Path","50% Off","Appraiser","Commerical",541,"Pre-Licensing","Email","C",0.5,200,100,"Sunday",201.25,24,1.5,1,3,12.5
2022-01-02,"Transition from Home Real Estate to Commerical Real Estate","None","Appraiser","Private",104,"Continuing Education","Facebook","C",NA,750,NA,"Sunday",270.45,29,0.8,1,3,10.34
2022-01-02,"Transition from Home Real Estate to Commerical Real Estate","40% Off","Other","Government",963,"Pre-Licensing","Email","C",0.4,750,300,"Sunday",124.51,40,1.3,1,6,15
2022-01-02,"Rental vs Sales - Defining Your Path","None","Appraiser","Government",240,"Other","Email","C",NA,200,NA,"Sunday",154.57,24,0.8,1,1,4.17
2022-01-03,"Real Estate Introduction","None","Real Estate Agent","Other",848,"Other","LinkedIn","A",NA,1500,NA,"Monday",228.82,36,0.8,1.1,1,2.78
2022-01-03,"Real Estate Introduction","50% Off","Appraiser","Commerical",473,"Pre-Licensing","Facebook","C",0.5,1500,750,"Monday",381.97,27,1.5,1,4,14.81
